faction,section,unit,cost_tier,models,points,version
adeptus-mechanicus,UNITS,HASTARII FUSILIERS,YOUR 3RD + UNIT COSTS,5,130,v1.0
adeptus-mechanicus,UNITS,IRONSTRIDER BALLISTARII,YOUR 1ST TO 2ND UNITS COST,1,80,v1.0
adeptus-mechanicus,UNITS,IRONSTRIDER BALLISTARII,YOUR 1ST TO 2ND UNITS COST,2,160,v1.0
adeptus-mechanicus,UNITS,IRONSTRIDER BALLISTARII,YOUR 1ST TO 2ND UNITS COST,3,240,v1.0
adeptus-mechanicus,UNITS,IRONSTRIDER BALLISTARII,YOUR 3RD + UNIT COSTS,1,95,v1.0
adeptus-mechanicus,UNITS,IRONSTRIDER BALLISTARII,YOUR 3RD + UNIT COSTS,2,175,v1.0
adeptus-mechanicus,UNITS,IRONSTRIDER BALLISTARII,YOUR 3RD + UNIT COSTS,3,255,v1.0
adeptus-mechanicus,UNITS,IRONSTRIDER BALLISTARII,WARGEAR OPTIONS,,10,v1.0
adeptus-mechanicus,UNITS,KASTELAN ROBOTS,YOUR 1ST UNIT COSTS,2,160,v1.0
adeptus-mechanicus,UNITS,KASTELAN ROBOTS,YOUR 1ST UNIT COSTS,4,320,v1.0
adeptus-mechanicus,UNITS,KASTELAN ROBOTS,YOUR 2ND + UNIT COSTS,2,180,v1.0
adeptus-mechanicus,UNITS,KASTELAN ROBOTS,YOUR 2ND + UNIT COSTS,4,340,v1.0
adeptus-mechanicus,UNITS,KATAPHRON BREACHERS,YOUR UNIT COSTS,3,150,v1.0
adeptus-mechanicus,UNITS,KATAPHRON BREACHERS,YOUR UNIT COSTS,6,320,v1.0
adeptus-mechanicus,UNITS,KATAPHRON DESTROYERS,YOUR UNIT COSTS,3,100,v1.0
adeptus-mechanicus,UNITS,KATAPHRON DESTROYERS,YOUR UNIT COSTS,6,210,v1.0
adeptus-mechanicus,UNITS,ONAGER DUNECRAWLER,YOUR UNIT COSTS,1,155,v1.0
adeptus-mechanicus,UNITS,PTERAXII SKYSTALKERS,YOUR 1ST TO 2ND UNITS COST,5,80,v1.0
adeptus-mechanicus,UNITS,PTERAXII SKYSTALKERS,YOUR 1ST TO 2ND UNITS COST,10,150,v1.0
adeptus-mechanicus,UNITS,PTERAXII SKYSTALKERS,YOUR 3RD + UNIT COSTS,5,90,v1.0
adeptus-mechanicus,UNITS,PTERAXII SKYSTALKERS,YOUR 3RD + UNIT COSTS,10,160,v1.0
adeptus-mechanicus,UNITS,PTERAXII STERYLIZORS,YOUR 1ST TO 2ND UNITS COST,5,80,v1.0
adeptus-mechanicus,UNITS,PTERAXII STERYLIZORS,YOUR 1ST TO 2ND UNITS COST,10,160,v1.0
adeptus-mechanicus,UNITS,PTERAXII STERYLIZORS,YOUR 3RD + UNIT COSTS,5,90,v1.0
adeptus-mechanicus,UNITS,PTERAXII STERYLIZORS,YOUR 3RD + UNIT COSTS,10,170,v1.0
adeptus-mechanicus,UNITS,SERBERYS RAIDERS,YOUR UNIT COSTS,3,60,v1.0
adeptus-mechanicus,UNITS,SERBERYS RAIDERS,YOUR UNIT COSTS,6,120,v1.0
adeptus-mechanicus,UNITS,SERBERYS SULPHURHOUNDS,YOUR UNIT COSTS,3,55,v1.0
adeptus-mechanicus,UNITS,SERBERYS SULPHURHOUNDS,YOUR UNIT COSTS,6,110,v1.0
adeptus-mechanicus,UNITS,SERVITOR BATTLECLADE,YOUR UNIT COSTS,9,65,v1.0
adeptus-mechanicus,UNITS,SICARIAN INFILTRATORS,YOUR 1ST TO 2ND UNITS COST,5,75,v1.0
adeptus-mechanicus,UNITS,SICARIAN INFILTRATORS,YOUR 1ST TO 2ND UNITS COST,10,155,v1.0
adeptus-mechanicus,UNITS,SICARIAN INFILTRATORS,YOUR 3RD + UNIT COSTS,5,85,v1.0
adeptus-mechanicus,UNITS,SICARIAN INFILTRATORS,YOUR 3RD + UNIT COSTS,10,165,v1.0
adeptus-mechanicus,UNITS,SICARIAN RUSTSTALKERS,YOUR 1ST TO 2ND UNITS COST,5,75,v1.0
adeptus-mechanicus,UNITS,SICARIAN RUSTSTALKERS,YOUR 1ST TO 2ND UNITS COST,10,160,v1.0
adeptus-mechanicus,UNITS,SICARIAN RUSTSTALKERS,YOUR 3RD + UNIT COSTS,5,85,v1.0
adeptus-mechanicus,UNITS,SICARIAN RUSTSTALKERS,YOUR 3RD + UNIT COSTS,10,170,v1.0
adeptus-mechanicus,UNITS,SKITARII MARSHAL,YOUR UNIT COSTS,1,35,v1.0
adeptus-mechanicus,UNITS,SKITARII RANGERS,YOUR UNIT COSTS,10,85,v1.0
adeptus-mechanicus,UNITS,SKITARII VANGUARD,YOUR UNIT COSTS,10,90,v1.0
adeptus-mechanicus,UNITS,SKORPIUS DISINTEGRATOR,YOUR UNIT COSTS,1,160,v1.0
adeptus-mechanicus,UNITS,SKORPIUS DISINTEGRATOR,WARGEAR OPTIONS,,10,v1.0
adeptus-mechanicus,UNITS,SKORPIUS DUNERIDER,YOUR UNIT COSTS,1,85,v1.0
adeptus-mechanicus,UNITS,SYDONIAN DRAGOONS WITH RADIUM JEZZAILS,YOUR UNIT COSTS,1,55,v1.0
adeptus-mechanicus,UNITS,SYDONIAN DRAGOONS WITH RADIUM JEZZAILS,YOUR UNIT COSTS,2,100,v1.0
adeptus-mechanicus,UNITS,SYDONIAN DRAGOONS WITH RADIUM JEZZAILS,YOUR UNIT COSTS,3,150,v1.0
adeptus-mechanicus,UNITS,SYDONIAN DRAGOONS WITH TASER LANCES,YOUR UNIT COSTS,1,60,v1.0
adeptus-mechanicus,UNITS,SYDONIAN DRAGOONS WITH TASER LANCES,YOUR UNIT COSTS,2,120,v1.0
adeptus-mechanicus,UNITS,SYDONIAN DRAGOONS WITH TASER LANCES,YOUR UNIT COSTS,3,170,v1.0
adeptus-mechanicus,UNITS,SYDONIAN SKATROS,YOUR UNIT COSTS,1,50,v1.0
adeptus-mechanicus,UNITS,TECHNOARCHEOLOGIST,YOUR UNIT COSTS,1,45,v1.0
adeptus-mechanicus,UNITS,TECH-PRIEST DOMINUS,YOUR UNIT COSTS,1,65,v1.0
adeptus-mechanicus,UNITS,TECH-PRIEST ENGINSEER,YOUR UNIT COSTS,1,55,v1.0
adeptus-mechanicus,UNITS,TECH-PRIEST MANIPULUS,YOUR UNIT COSTS,1,60,v1.0
adeptus-mechanicus,UNITS,THULIA GHULD,YOUR UNIT COSTS,1,180,v1.0
aeldari,UNITS,ASURMEN,YOUR UNIT COSTS,1,135,v1.0
aeldari,UNITS,AUTARCH,YOUR UNIT COSTS,1,85,v1.0
aeldari,UNITS,AUTARCH WAYLEAPER,YOUR UNIT COSTS,1,80,v1.0
aeldari,UNITS,AVATAR OF KHAINE,YOUR UNIT COSTS,1,265,v1.0
aeldari,UNITS,BAHARROTH,YOUR UNIT COSTS,1,125,v1.0
aeldari,UNITS,CORSAIR SKYREAVERS,YOUR 1ST TO 2ND UNITS COST,5,80,v1.0
aeldari,UNITS,CORSAIR SKYREAVERS,YOUR 1ST TO 2ND UNITS COST,10,150,v1.0
aeldari,UNITS,CORSAIR SKYREAVERS,YOUR 3RD + UNIT COSTS,5,90,v1.0
aeldari,UNITS,CORSAIR SKYREAVERS,YOUR 3RD + UNIT COSTS,10,160,v1.0
aeldari,UNITS,CORSAIR VOIDREAVERS,YOUR UNIT COSTS,5,65,v1.0
aeldari,UNITS,CORSAIR VOIDREAVERS,YOUR UNIT COSTS,10,110,v1.0
aeldari,UNITS,CORSAIR VOIDSCARRED,YOUR UNIT COSTS,5,80,v1.0
aeldari,UNITS,CORSAIR VOIDSCARRED,YOUR UNIT COSTS,10,160,v1.0
aeldari,UNITS,CRIMSON HUNTER,YOUR UNIT COSTS,1,160,v1.0
aeldari,UNITS,DARK REAPERS,YOUR UNIT COSTS,5,100,v1.0
aeldari,UNITS,DARK REAPERS,YOUR UNIT COSTS,10,210,v1.0
aeldari,UNITS,D-CANNON PLATFORM,YOUR 1ST UNIT COSTS,1,110,v1.0
aeldari,UNITS,D-CANNON PLATFORM,YOUR 2ND + UNIT COSTS,1,125,v1.0
aeldari,UNITS,DIRE AVENGERS,YOUR UNIT COSTS,5,75,v1.0
aeldari,UNITS,DIRE AVENGERS,YOUR UNIT COSTS,10,150,v1.0
aeldari,UNITS,ELDRAD ULTHRAN,YOUR UNIT COSTS,1,130,v1.0
aeldari,UNITS,FALCON,YOUR UNIT COSTS,1,130,v1.0
aeldari,UNITS,FARSEER,YOUR UNIT COSTS,1,70,v1.0
aeldari,UNITS,FARSEER SKYRUNNER,YOUR UNIT COSTS,1,70,v1.0
aeldari,UNITS,FIRE DRAGONS,YOUR 1ST TO 2ND UNITS COST,5,120,v1.0
aeldari,UNITS,FIRE DRAGONS,YOUR 1ST TO 2ND UNITS COST,10,240,v1.0
aeldari,UNITS,FIRE DRAGONS,YOUR 3RD + UNIT COSTS,5,130,v1.0
aeldari,UNITS,FIRE DRAGONS,YOUR 3RD + UNIT COSTS,10,250,v1.0
aeldari,UNITS,FIRE PRISM,YOUR UNIT COSTS,1,150,v1.0
aeldari,UNITS,FUEGAN,YOUR UNIT COSTS,1,130,v1.0
aeldari,UNITS,GUARDIAN DEFENDERS,YOUR UNIT COSTS,11,90,v1.0
aeldari,UNITS,HEMLOCK WRAITHFIGHTER,YOUR UNIT COSTS,1,155,v1.0
aeldari,UNITS,HOWLING BANSHEES,YOUR UNIT COSTS,5,85,v1.0
aeldari,UNITS,HOWLING BANSHEES,YOUR UNIT COSTS,10,165,v1.0
aeldari,UNITS,JAIN ZAR,YOUR UNIT COSTS,1,105,v1.0
aeldari,UNITS,KHARSETH,YOUR UNIT COSTS,1,85,v1.0
aeldari,UNITS,LHYKHIS,YOUR UNIT COSTS,1,135,v1.0
aeldari,UNITS,MAUGAN RA,YOUR UNIT COSTS,1,100,v1.0
aeldari,UNITS,NIGHT SPINNER,YOUR 1ST UNIT COSTS,1,170,v1.0
aeldari,UNITS,NIGHT SPINNER,YOUR 2ND + UNIT COSTS,1,190,v1.0
aeldari,UNITS,PHANTOM TITAN,YOUR UNIT COSTS,1,2100,v1.0
aeldari,UNITS,PRINCE YRIEL,YOUR UNIT COSTS,1,95,v1.0
aeldari,UNITS,RANGERS,YOUR UNIT COSTS,5,60,v1.0
aeldari,UNITS,RANGERS,YOUR UNIT COSTS,10,110,v1.0
aeldari,UNITS,REVENANT TITAN,YOUR UNIT COSTS,1,1100,v1.0
aeldari,UNITS,SHADOW WEAVER PLATFORM,YOUR UNIT COSTS,1,60,v1.0
aeldari,UNITS,SHINING SPEARS,YOUR UNIT COSTS,3,105,v1.0
aeldari,UNITS,SHINING SPEARS,YOUR UNIT COSTS,6,210,v1.0
aeldari,UNITS,SHROUD RUNNERS,YOUR UNIT COSTS,3,95,v1.0
aeldari,UNITS,SHROUD RUNNERS,YOUR UNIT COSTS,6,175,v1.0
aeldari,UNITS,SPIRITSEER,YOUR UNIT COSTS,1,55,v1.0
aeldari,UNITS,STARFANGS,YOUR UNIT COSTS,1,70,v1.0
aeldari,UNITS,STARFANGS,YOUR UNIT COSTS,2,140,v1.0
aeldari,UNITS,STORM GUARDIANS,YOUR UNIT COSTS,11,110,v1.0
aeldari,UNITS,STRIKING SCORPIONS,YOUR UNIT COSTS,5,75,v1.0
aeldari,UNITS,STRIKING SCORPIONS,YOUR UNIT COSTS,10,145,v1.0
aeldari,UNITS,SWOOPING HAWKS,YOUR 1ST TO 2ND UNITS COST,5,100,v1.0
aeldari,UNITS,SWOOPING HAWKS,YOUR 1ST TO 2ND UNITS COST,10,190,v1.0
aeldari,UNITS,SWOOPING HAWKS,YOUR 3RD + UNIT COSTS,5,115,v1.0
aeldari,UNITS,SWOOPING HAWKS,YOUR 3RD + UNIT COSTS,10,205,v1.0
aeldari,UNITS,VIBRO CANNON PLATFORM,YOUR UNIT COSTS,1,60,v1.0
aeldari,UNITS,VYPER,YOUR UNIT COSTS,1,75,v1.0
aeldari,UNITS,VYPER,YOUR UNIT COSTS,2,140,v1.0
aeldari,UNITS,WARLOCK,YOUR UNIT COSTS,1,45,v1.0
aeldari,UNITS,WARLOCK CONCLAVE,YOUR UNIT COSTS,2,55,v1.0
aeldari,UNITS,WARLOCK CONCLAVE,YOUR UNIT COSTS,4,120,v1.0
aeldari,UNITS,WARLOCK SKYRUNNERS,YOUR UNIT COSTS,1,45,v1.0
aeldari,UNITS,WARLOCK SKYRUNNERS,YOUR UNIT COSTS,2,90,v1.0
aeldari,UNITS,WARP SPIDERS,YOUR 1ST TO 2ND UNITS COST,5,115,v1.0
aeldari,UNITS,WARP SPIDERS,YOUR 1ST TO 2ND UNITS COST,10,200,v1.0
aeldari,UNITS,WARP SPIDERS,YOUR 3RD + UNIT COSTS,5,130,v1.0
aeldari,UNITS,WARP SPIDERS,YOUR 3RD + UNIT COSTS,10,215,v1.0
aeldari,UNITS,WAR WALKERS,YOUR UNIT COSTS,1,85,v1.0
aeldari,UNITS,WAR WALKERS,YOUR UNIT COSTS,2,170,v1.0
aeldari,UNITS,WAVE SERPENT,YOUR UNIT COSTS,1,125,v1.0
aeldari,UNITS,WINDRIDERS,YOUR UNIT COSTS,3,80,v1.0
aeldari,UNITS,WINDRIDERS,YOUR UNIT COSTS,6,160,v1.0
aeldari,UNITS,WRAITHBLADES,YOUR UNIT COSTS,5,140,v1.0
aeldari,UNITS,WRAITHGUARD,YOUR UNIT COSTS,5,145,v1.0
aeldari,UNITS,WRAITHKNIGHT,YOUR 1ST UNIT COSTS,1,415,v1.0
aeldari,UNITS,WRAITHKNIGHT,YOUR 2ND + UNIT COSTS,1,435,v1.0
aeldari,UNITS,WRAITHKNIGHT,WARGEAR OPTIONS,,10,v1.0
aeldari,UNITS,WRAITHKNIGHT WITH GHOSTGLAIVE,YOUR 1ST UNIT COSTS,1,405,v1.0
