weapon_name,wiki_title,wiki_url,confidence,notes
Arachnus heavy lascannon battery,,,needs_check,not in report anchor set; resolve via live wiki API
Arachnus magna-blaze cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Arachnus storm cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Arbites combat shotgun,,,needs_check,not in report anchor set; resolve via live wiki API
Arbites grenade launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Arbites shotpistol,,,needs_check,not in report anchor set; resolve via live wiki API
Arc claw,,,needs_check,not in report anchor set; resolve via live wiki API
Arc lance,,,needs_check,not in report anchor set; resolve via live wiki API
Arc rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Arc scourge,,,needs_check,not in report anchor set; resolve via live wiki API
Arcane Fire,,,needs_check,not in report anchor set; resolve via live wiki API
Arcane Fireball,,,needs_check,not in report anchor set; resolve via live wiki API
Archeotech laspistol,,,needs_check,not in report anchor set; resolve via live wiki API
Archeotech pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Archite glaive and agoniser,,,needs_check,not in report anchor set; resolve via live wiki API
Arco-flails,,,needs_check,not in report anchor set; resolve via live wiki API
Arcus multi-launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Ardex-defensor lascannon,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: ardex-defensor
Ardex-defensor mauler,,,needs_check,not in report anchor set; resolve via live wiki API
Arhra’s Bane,,,needs_check,not in report anchor set; resolve via live wiki API
Arioch power claw,,,needs_check,not in report anchor set; resolve via live wiki API
Arma Luminis,,,needs_check,not in report anchor set; resolve via live wiki API
Armiger autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: armiger
Armoured bulk,,,skip,psychic power / structural / limb profile
Armoured feet,,,skip,psychic power / structural / limb profile
Armoured frame,,,skip,psychic power / structural / limb profile
Armoured hull,,,skip,psychic power / structural / limb profile
Armoured limbs,,,needs_check,not in report anchor set; resolve via live wiki API
Armoured tracks,,,skip,psychic power / structural / limb profile
Armoured wheels,,,skip,psychic power / structural / limb profile
Artificer bolt pistol,Bolt Pistol,https://warhammer40k.fandom.com/wiki/Bolt_Pistol,base_fallback,stripped qualifier: artificer
Artificer crozius,,,needs_check,not in report anchor set; resolve via live wiki API
Artificer crozius arcanum,Crozius Arcanum,https://warhammer40k.fandom.com/wiki/Crozius_Arcanum,base_fallback,stripped qualifier: artificer
Artificer grav-gun,,,needs_check,not in report anchor set; resolve via live wiki API
Artificer shotgun,,,needs_check,not in report anchor set; resolve via live wiki API
Artificer-crafted storm bolter,Storm Bolter,https://warhammer40k.fandom.com/wiki/Storm_Bolter,base_fallback,stripped qualifier: artificer-crafted
Artisan plasma pistol,Plasma Pistol,https://warhammer40k.fandom.com/wiki/Plasma_Pistol,base_fallback,stripped prefix: artisan
Assault bolters,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,base_fallback,stripped prefix: assault
Assault cannon,Assault Cannon,https://warhammer40k.fandom.com/wiki/Assault_Cannon,verified,base article
Astartes chainblade,,,needs_check,not in report anchor set; resolve via live wiki API
Astartes chainsword,Chainsword,https://warhammer40k.fandom.com/wiki/Chainsword,base_fallback,stripped prefix: astartes
Astartes grenade launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Astartes shotgun,,,needs_check,not in report anchor set; resolve via live wiki API
Asterius volkite culverin,Volkite Culverin,https://warhammer40k.fandom.com/wiki/Volkite_Culverin,base_fallback,stripped prefix: asterius
Astraeus las-ripper,,,needs_check,not in report anchor set; resolve via live wiki API
Astral Blast,,,needs_check,not in report anchor set; resolve via live wiki API
Astropathic Blast,,,needs_check,not in report anchor set; resolve via live wiki API
Astropath’s stave,,,needs_check,not in report anchor set; resolve via live wiki API
Asu-var,,,needs_check,not in report anchor set; resolve via live wiki API
Atalan incinerator,,,needs_check,not in report anchor set; resolve via live wiki API
Atalan power weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Atalan small arms,,,needs_check,not in report anchor set; resolve via live wiki API
Atomic disassembler,,,needs_check,not in report anchor set; resolve via live wiki API
Atomiser beam,,,needs_check,not in report anchor set; resolve via live wiki API
Atrapos lascutter,,,needs_check,not in report anchor set; resolve via live wiki API
Attack squig,,,needs_check,not in report anchor set; resolve via live wiki API
Attendants’ hellblades,,,needs_check,not in report anchor set; resolve via live wiki API
Auto boltstorm gauntlets,,,needs_check,not in report anchor set; resolve via live wiki API
Auto shotgun,,,needs_check,not in report anchor set; resolve via live wiki API
Autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,verified,base article
Autoch-pattern bolt pistol,Bolt Pistol,https://warhammer40k.fandom.com/wiki/Bolt_Pistol,base_fallback,stripped prefix: autoch-pattern
Autoch-pattern bolter,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,base_fallback,stripped prefix: autoch-pattern
Autoch-pattern combi-bolter,,,needs_check,not in report anchor set; resolve via live wiki API
Autogun,,,needs_check,not in report anchor set; resolve via live wiki API
Automaton claws,,,needs_check,not in report anchor set; resolve via live wiki API
Autopistol,,,needs_check,not in report anchor set; resolve via live wiki API
Autostubber,,,needs_check,not in report anchor set; resolve via live wiki API
Avenger bolt cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Avenger chaincannon,,,needs_check,not in report anchor set; resolve via live wiki API
Avenger gatling cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Avenger mega bolter,,,needs_check,not in report anchor set; resolve via live wiki API
Avenger shuriken catapult,Shuriken Catapult,https://warhammer40k.fandom.com/wiki/Shuriken_Catapult,base_fallback,stripped prefix: avenger
Axe Morkai,Power Axe,https://warhammer40k.fandom.com/wiki/Power_Axe,verified,named/relic article
Axe of Dominion,,,needs_check,not in report anchor set; resolve via live wiki API
Axe of Ending,,,needs_check,not in report anchor set; resolve via live wiki API
Axe of Khorne,Axe of Khorne,https://warhammer40k.fandom.com/wiki/Axe_of_Khorne,verified,named/relic article
Axe of dismemberment,Axe of Dismemberment,https://warhammer40k.fandom.com/wiki/Axe_of_Dismemberment,verified,named/relic article
Axiom,,,needs_check,not in report anchor set; resolve via live wiki API
Baal flamestorm cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Bale Eye,,,needs_check,not in report anchor set; resolve via live wiki API
Baleblast,,,needs_check,not in report anchor set; resolve via live wiki API
Balefire pike,,,needs_check,not in report anchor set; resolve via live wiki API
Balefire tome,,,needs_check,not in report anchor set; resolve via live wiki API
Baleflamer,,,needs_check,not in report anchor set; resolve via live wiki API
Baleful Devolution,,,needs_check,not in report anchor set; resolve via live wiki API
Baleful sword,,,needs_check,not in report anchor set; resolve via live wiki API
Balemace,,,needs_check,not in report anchor set; resolve via live wiki API
Balesword,,,needs_check,not in report anchor set; resolve via live wiki API
Balesword and Nurgling attendants,,,needs_check,not in report anchor set; resolve via live wiki API
Balistus grenade launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Ballistus lascannon,Lascannon,https://warhammer40k.fandom.com/wiki/Lascannon,base_fallback,stripped prefix: ballistus
Ballistus missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Bane,,,needs_check,not in report anchor set; resolve via live wiki API
Baneblade cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Banshee blade,,,needs_check,not in report anchor set; resolve via live wiki API
Barbed ovipositor,,,needs_check,not in report anchor set; resolve via live wiki API
Barbed strangler,,,needs_check,not in report anchor set; resolve via live wiki API
Barbed tail and dissecting claws,,,needs_check,not in report anchor set; resolve via live wiki API
Barblauncher,,,needs_check,not in report anchor set; resolve via live wiki API
Battery close combat weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Battle cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Battlesuit fists,,,needs_check,not in report anchor set; resolve via live wiki API
Beast Snagga klaw,,,needs_check,not in report anchor set; resolve via live wiki API
Beastchoppa,,,needs_check,not in report anchor set; resolve via live wiki API
Befouled claws and fangs,,,skip,psychic power / structural / limb profile
Belicosa volcano cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Bellatus reaper chainsword,,,needs_check,not in report anchor set; resolve via live wiki API
Belleros energy cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Bellicatus missile array,,,needs_check,not in report anchor set; resolve via live wiki API
Bellow of endless fury,,,skip,psychic power / structural / limb profile
Belly-flamer,,,needs_check,not in report anchor set; resolve via live wiki API
Betentacled maw,,,needs_check,not in report anchor set; resolve via live wiki API
Betraying Shades,,,needs_check,not in report anchor set; resolve via live wiki API
Big Chompa’s jaws,,,needs_check,not in report anchor set; resolve via live wiki API
Big choppa,,,needs_check,not in report anchor set; resolve via live wiki API
Big shoota,,,needs_check,not in report anchor set; resolve via live wiki API
Bile maw,,,skip,psychic power / structural / limb profile
Bile spurt,,,needs_check,not in report anchor set; resolve via live wiki API
Bileblade,,,needs_check,not in report anchor set; resolve via live wiki API
Bilesword,,,needs_check,not in report anchor set; resolve via live wiki API
Bio-acid spray,,,needs_check,not in report anchor set; resolve via live wiki API
Bio-cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Bio-electric pulse,,,needs_check,not in report anchor set; resolve via live wiki API
Bio-plasma,,,needs_check,not in report anchor set; resolve via live wiki API
Bio-plasma torrent,,,needs_check,not in report anchor set; resolve via live wiki API
Bio-plasmic cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Bio-plasmic scream,,,needs_check,not in report anchor set; resolve via live wiki API
Bionic arm with devil’s claw,,,needs_check,not in report anchor set; resolve via live wiki API
Bionic gauntlet,,,needs_check,not in report anchor set; resolve via live wiki API
Biting blade,,,needs_check,not in report anchor set; resolve via live wiki API
Biting maw,,,needs_check,not in report anchor set; resolve via live wiki API
Black Blade of Antwyr,,,no_match,report: no standalone Fandom article
Black Knight combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Black Shield blades,,,needs_check,not in report anchor set; resolve via live wiki API
Black Staff of Ahriman,,,no_match,report: no standalone Fandom article
Black Sword,,,no_match,report: no standalone Fandom article
Blackout,,,needs_check,not in report anchor set; resolve via live wiki API
Blackstar rocket launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Blacksword missiles,,,needs_check,not in report anchor set; resolve via live wiki API
Blade of Destruction,,,needs_check,not in report anchor set; resolve via live wiki API
Blade of Magnus,,,no_match,report: no standalone Fandom article
Blade of Vigil,,,needs_check,not in report anchor set; resolve via live wiki API
Blade of blood,,,needs_check,not in report anchor set; resolve via live wiki API
Blade of decay,,,needs_check,not in report anchor set; resolve via live wiki API
Blade of the Ancestors,,,no_match,report: no standalone Fandom article
Blade of the Laer,,,needs_check,not in report anchor set; resolve via live wiki API
Blade struts,,,needs_check,not in report anchor set; resolve via live wiki API
Blade tail and whip coils,,,skip,psychic power / structural / limb profile
Bladed axle,,,needs_check,not in report anchor set; resolve via live wiki API
Bladed horn,,,needs_check,not in report anchor set; resolve via live wiki API
Bladed limbs,,,needs_check,not in report anchor set; resolve via live wiki API
Bladed wings,,,needs_check,not in report anchor set; resolve via live wiki API
Blades of honour,,,needs_check,not in report anchor set; resolve via live wiki API
Bladestave and prey-hook,,,needs_check,not in report anchor set; resolve via live wiki API
Bladevanes,,,needs_check,not in report anchor set; resolve via live wiki API
Bladevanes and chainsnares,,,needs_check,not in report anchor set; resolve via live wiki API
Blasphemous appendages,,,needs_check,not in report anchor set; resolve via live wiki API
Blast javelin,,,needs_check,not in report anchor set; resolve via live wiki API
Blast pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Blastmaster,,,needs_check,not in report anchor set; resolve via live wiki API
Blessed blade,,,needs_check,not in report anchor set; resolve via live wiki API
Blessed halberd,,,needs_check,not in report anchor set; resolve via live wiki API
Blessed sword,,,needs_check,not in report anchor set; resolve via live wiki API
Blight launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Blightreaper cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Blinding venom,,,needs_check,not in report anchor set; resolve via live wiki API
Blissblade,,,needs_check,not in report anchor set; resolve via live wiki API
Blood Lance,,,needs_check,not in report anchor set; resolve via live wiki API
Blood Reaver,,,needs_check,not in report anchor set; resolve via live wiki API
Blood Song,,,needs_check,not in report anchor set; resolve via live wiki API
Blood fist bolt rifles,,,needs_check,not in report anchor set; resolve via live wiki API
Blood fists,,,needs_check,not in report anchor set; resolve via live wiki API
Blood harpoon,,,needs_check,not in report anchor set; resolve via live wiki API
Blood talons,,,needs_check,not in report anchor set; resolve via live wiki API
Bloodflail,,,needs_check,not in report anchor set; resolve via live wiki API
Bloodlash,,,needs_check,not in report anchor set; resolve via live wiki API
Bloody Twins,,,needs_check,not in report anchor set; resolve via live wiki API
Blue claws,,,needs_check,not in report anchor set; resolve via live wiki API
Bolt cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Bolt carbine,,,needs_check,not in report anchor set; resolve via live wiki API
Bolt of Change,,,skip,psychic power / structural / limb profile
Bolt of Tzeentch,,,needs_check,not in report anchor set; resolve via live wiki API
Bolt pistol,Bolt Pistol,https://warhammer40k.fandom.com/wiki/Bolt_Pistol,verified,base article
Bolt pistols,Bolt Pistol,https://warhammer40k.fandom.com/wiki/Bolt_Pistol,verified,base article
Bolt revolver,,,needs_check,not in report anchor set; resolve via live wiki API
Bolt rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Bolt shotgun,,,needs_check,not in report anchor set; resolve via live wiki API
Bolt sniper rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Boltgun,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,verified,base article
Boltstorm gauntlet,,,needs_check,not in report anchor set; resolve via live wiki API
Bombast field gun,,,needs_check,not in report anchor set; resolve via live wiki API
"Bone cleaver, lash whip and rending claws",,,needs_check,not in report anchor set; resolve via live wiki API
Bone sabres,,,needs_check,not in report anchor set; resolve via live wiki API
Boombits,,,needs_check,not in report anchor set; resolve via live wiki API
Boomstikks,,,needs_check,not in report anchor set; resolve via live wiki API
Boreas air defence missiles,,,needs_check,not in report anchor set; resolve via live wiki API
Brace of pistols,,,needs_check,not in report anchor set; resolve via live wiki API
Bragg’s autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: bragg's
Brazier of holy fire,,,needs_check,not in report anchor set; resolve via live wiki API
Breacha ram,,,needs_check,not in report anchor set; resolve via live wiki API
Breacher ordnance,,,needs_check,not in report anchor set; resolve via live wiki API
Bright lance,,,needs_check,not in report anchor set; resolve via live wiki API
Brimstone volcano lance,,,needs_check,not in report anchor set; resolve via live wiki API
Brood Twain,,,needs_check,not in report anchor set; resolve via live wiki API
Broodlord claws and talons,,,needs_check,not in report anchor set; resolve via live wiki API
Brutal assault weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Brutal weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Brutalis bolt rifles,,,needs_check,not in report anchor set; resolve via live wiki API
Brutalis fists,,,needs_check,not in report anchor set; resolve via live wiki API
Brutalis talons,,,needs_check,not in report anchor set; resolve via live wiki API
Bubblechukka,,,needs_check,not in report anchor set; resolve via live wiki API
Bubotic blade,,,needs_check,not in report anchor set; resolve via live wiki API
Bubotic weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Bullgryn maul,,,needs_check,not in report anchor set; resolve via live wiki API
Burna,Burna,https://warhammer40k.fandom.com/wiki/Burna,verified,base article
Burna exhausts,,,needs_check,not in report anchor set; resolve via live wiki API
Burning hands,,,needs_check,not in report anchor set; resolve via live wiki API
Burning roar,,,needs_check,not in report anchor set; resolve via live wiki API
Burst cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Bursta kannon,,,needs_check,not in report anchor set; resolve via live wiki API
Butcha boyz,,,needs_check,not in report anchor set; resolve via live wiki API
Butcher blade,,,needs_check,not in report anchor set; resolve via live wiki API
Cacophonic choir,,,needs_check,not in report anchor set; resolve via live wiki API
Calibanite greatsword,,,needs_check,not in report anchor set; resolve via live wiki API
Canoptek tail blades,,,needs_check,not in report anchor set; resolve via live wiki API
Carnifex crushing claws,,,needs_check,not in report anchor set; resolve via live wiki API
Carnifex extra scything talons,,,needs_check,not in report anchor set; resolve via live wiki API
Carnifex scything talons,,,needs_check,not in report anchor set; resolve via live wiki API
Carnodon twin autocannon,,,needs_check,not in report anchor set; resolve via live wiki API
Carnodon twin lascannon,,,needs_check,not in report anchor set; resolve via live wiki API
Carnodon twin multi-laser,,,needs_check,not in report anchor set; resolve via live wiki API
Casket of Flensing,,,needs_check,not in report anchor set; resolve via live wiki API
Castellan axe,Castellan Axe,https://warhammer40k.fandom.com/wiki/Castellan_Axe,verified,named/relic article
Castellan launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Castellum Icarus quad lascannon,,,needs_check,not in report anchor set; resolve via live wiki API
Castellum air defence missiles,,,needs_check,not in report anchor set; resolve via live wiki API
Castellum battle cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Castigation,,,needs_check,not in report anchor set; resolve via live wiki API
Castigator autocannons,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: castigator
Castigator battle cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Castigator bolt cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Castigator gatling cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Cavalry arc maul,,,needs_check,not in report anchor set; resolve via live wiki API
Cavalry sabre and clawed limbs,,,needs_check,not in report anchor set; resolve via live wiki API
Cawl’s Omnissian axe,,,needs_check,not in report anchor set; resolve via live wiki API
Centurion bolters,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,base_fallback,stripped prefix: centurion
Centurion fists,,,needs_check,not in report anchor set; resolve via live wiki API
Centurion missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Cerastus shock lance,,,needs_check,not in report anchor set; resolve via live wiki API
Cerberus launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Cerberus neutron pulse array,,,needs_check,not in report anchor set; resolve via live wiki API
Chain-flails,,,needs_check,not in report anchor set; resolve via live wiki API
Chainblade,,,needs_check,not in report anchor set; resolve via live wiki API
Chainblades,,,needs_check,not in report anchor set; resolve via live wiki API
Chainfist,Chainfist,https://warhammer40k.fandom.com/wiki/Chainfist,verified,base article
Chainsabres,,,needs_check,not in report anchor set; resolve via live wiki API
Chainsword,Chainsword,https://warhammer40k.fandom.com/wiki/Chainsword,verified,base article
Champion’s blade,,,needs_check,not in report anchor set; resolve via live wiki API
Chaos stave,,,needs_check,not in report anchor set; resolve via live wiki API
Chastiser gatling cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Chem cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Chemical vials,,,needs_check,not in report anchor set; resolve via live wiki API
Chiron gatling cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Chirurgeon,,,needs_check,not in report anchor set; resolve via live wiki API
Chirurgeon’s tools,,,needs_check,not in report anchor set; resolve via live wiki API
Chitin-barbed limbs,,,needs_check,not in report anchor set; resolve via live wiki API
Chitinous claws and teeth,,,skip,psychic power / structural / limb profile
Choppa,,,needs_check,not in report anchor set; resolve via live wiki API
Chronus’ servo-arm,,,needs_check,not in report anchor set; resolve via live wiki API
Churning fangs and claws,,,needs_check,not in report anchor set; resolve via live wiki API
Claw of the Jackalwolf,,,needs_check,not in report anchor set; resolve via live wiki API
Clawed Fiend fists,,,needs_check,not in report anchor set; resolve via live wiki API
Clawed limbs,,,needs_check,not in report anchor set; resolve via live wiki API
Claws,,,needs_check,not in report anchor set; resolve via live wiki API
Claws and teeth,,,skip,psychic power / structural / limb profile
Claws of Severax,,,needs_check,not in report anchor set; resolve via live wiki API
Clearance incinerator,,,needs_check,not in report anchor set; resolve via live wiki API
Close combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Close combat weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Close-combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Cloudburst missile launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Cluster rocket system,,,needs_check,not in report anchor set; resolve via live wiki API
Coaxial autocannon,Autocannon,https://warhammer40k.fandom.com/wiki/Autocannon,base_fallback,stripped prefix: coaxial
Cognis flamer,Flamer,https://warhammer40k.fandom.com/wiki/Flamer,base_fallback,stripped prefix: cognis
Cognis heavy stubber,Heavy Stubber,https://warhammer40k.fandom.com/wiki/Heavy_Stubber,base_fallback,stripped prefix: cognis
Cognis heavy stubber array,,,needs_check,not in report anchor set; resolve via live wiki API
Coiled tentacles,,,needs_check,not in report anchor set; resolve via live wiki API
Colossus siege mortar,,,needs_check,not in report anchor set; resolve via live wiki API
Combat blade,,,needs_check,not in report anchor set; resolve via live wiki API
Combat knife,,,needs_check,not in report anchor set; resolve via live wiki API
Combat shotgun,,,needs_check,not in report anchor set; resolve via live wiki API
Combi-bolter,,,needs_check,not in report anchor set; resolve via live wiki API
Combi-weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Commissar’s close combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Commissar’s pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Commune blade,,,needs_check,not in report anchor set; resolve via live wiki API
Commune stave,,,needs_check,not in report anchor set; resolve via live wiki API
Concussion gauntlet,,,needs_check,not in report anchor set; resolve via live wiki API
Concussion maul,,,needs_check,not in report anchor set; resolve via live wiki API
Condemnor bolt pistol,Bolt Pistol,https://warhammer40k.fandom.com/wiki/Bolt_Pistol,base_fallback,stripped prefix: condemnor
Condemnor boltgun,Bolter,https://warhammer40k.fandom.com/wiki/Bolter,base_fallback,stripped prefix: condemnor
Condemnor stake,,,needs_check,not in report anchor set; resolve via live wiki API
Conflagration cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Conquest,,,no_match,report: no standalone Fandom article
Contemptor combat weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Control stave,,,needs_check,not in report anchor set; resolve via live wiki API
Conversion beam cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Conversion beam obliterator,,,needs_check,not in report anchor set; resolve via live wiki API
Conversion beamer,,,needs_check,not in report anchor set; resolve via live wiki API
Corbec’s hot-shot lascarbine,,,needs_check,not in report anchor set; resolve via live wiki API
Corrupted pistol,,,needs_check,not in report anchor set; resolve via live wiki API
Corrupted staff,,,needs_check,not in report anchor set; resolve via live wiki API
Corrupted stave,,,needs_check,not in report anchor set; resolve via live wiki API
Corsair blade,,,needs_check,not in report anchor set; resolve via live wiki API
Corsair firearm,,,needs_check,not in report anchor set; resolve via live wiki API
Coruscating Blue Flames,,,skip,psychic power / structural / limb profile
Coruscating Pink Flames,,,skip,psychic power / structural / limb profile
Coruscating Yellow Flames,,,skip,psychic power / structural / limb profile
Cosmic Fire,,,needs_check,not in report anchor set; resolve via live wiki API
Cosmic insanity,,,needs_check,not in report anchor set; resolve via live wiki API
Coward’s Bane,,,needs_check,not in report anchor set; resolve via live wiki API
Crackling tendrils,,,needs_check,not in report anchor set; resolve via live wiki API
Crew close combat weapons,,,needs_check,not in report anchor set; resolve via live wiki API
Crozius arcanum,Crozius Arcanum,https://warhammer40k.fandom.com/wiki/Crozius_Arcanum,verified,base article
Crozius arcanum and power weapon,,,needs_check,not in report anchor set; resolve via live wiki API
Crushing bulk,,,skip,psychic power / structural / limb profile
Crushing claws and rending claws,,,needs_check,not in report anchor set; resolve via live wiki API
Crushing feet,,,skip,psychic power / structural / limb profile
Crushing fists,,,needs_check,not in report anchor set; resolve via live wiki API
Crushing teeth and claws,,,skip,psychic power / structural / limb profile
Cult bonesword,,,needs_check,not in report anchor set; resolve via live wiki API
Cult claws,,,needs_check,not in report anchor set; resolve via live wiki API
Cult claws and knife,,,needs_check,not in report anchor set; resolve via live wiki API
Cult claws and talons,,,needs_check,not in report anchor set; resolve via live wiki API
Cult sniper rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Cultist firearm,,,needs_check,not in report anchor set; resolve via live wiki API
Cultist grenade launcher,,,needs_check,not in report anchor set; resolve via live wiki API
Cultist sniper rifle,,,needs_check,not in report anchor set; resolve via live wiki API
Curse of the Leper,,,needs_check,not in report anchor set; resolve via live wiki API
Cursed plague bell,,,needs_check,not in report anchor set; resolve via live wiki API
Cutting beam,,,needs_check,not in report anchor set; resolve via live wiki API
Cuttin’ flames,,,needs_check,not in report anchor set; resolve via live wiki API
Cyclic ion blaster,,,needs_check,not in report anchor set; resolve via live wiki API
Cyclic ion cannon,,,needs_check,not in report anchor set; resolve via live wiki API
Cyclic ion raker,,,needs_check,not in report anchor set; resolve via live wiki API
